Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Elevation
48.513378,9.8507422,20,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,705
48.464632,9.9415914,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,586
48.490108,9.8618227,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,642
48.455093,9.9113609,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,605
48.211121,10.06954,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,514
48.239592,10.060476,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,538
48.211078,10.069746,22,AC Steckdose Typ 2,22,,,,,,,514
48.518901,9.903521,22,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,,,,,626
48.534719,9.9245,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,555
48.528983,10.193397,44,AC Steckdose Typ 2,22,,,,,,,502
48.480387,9.980588,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,597
48.483158,9.985855,22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,589
48.464484,9.760458,22,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,694
48.498819,10.029118,22,AC Steckdose Typ 2,22,,,,,,,559
48.51626,9.759398,300,"DC Kupplung Combo, DC CHAdeMO",300,DC Kupplung Combo,300,,,,,705
48.51626,9.759398,300,"DC Kupplung Combo, DC CHAdeMO",300,DC Kupplung Combo,300,,,,,705
48.51461078,9.758304987,300,DC Kupplung Combo,300,DC Kupplung Combo,300,,,,,704
48.51649866,9.758775424,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,706
48.542435,10.02037,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,578
48.515922,10.172538,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,508
48.280578,9.977956,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,,,,,532
48.2995,9.99078,93,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,,,,,498
48.30245,9.979794,22,AC Steckdose Typ 2,22,,,,,,,526
48.299732,10.000902,22,AC Steckdose Typ 2,22,,,,,,,533
48.552305,9.996752,22,AC Steckdose Typ 2,22,,,,,,,587
48.51919,9.954191,44,AC Steckdose Typ 2,22,,,,,,,541
48.233968,9.644065,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,515
48.29141,9.71978,22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,531
48.28361219,9.741170485,22,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,531
48.309956,9.613892,22,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,684
48.283056,9.70439,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,513
48.283966,9.729368,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,517
48.2820523,9.7123272,98,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,,,,,512
48.2838257,9.7303316,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,519
48.284112,9.720718,93,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,,,,,513
48.271857,9.730151,50,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,493
48.271857,9.730151,50,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,493
48.28298585,9.722937942,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,505
48.28293944,9.722878933,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,505
48.262532,9.735061,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,506
48.253882,9.583864,44,AC Steckdose Typ 2,22,,,,,,,520
48.282088,9.710444,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,,,,,513
48.666271,9.635715,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,398
48.236181,9.65134,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,,,,,504
48.36996,9.73219,22,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,,,,,534
48.364831,9.7117115,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,563
48.37562,9.73393,93,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,,,,,538
48.301852,9.832413,22,AC Steckdose Typ 2,22,,,,,,,490
48.1861,9.69115,93,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,,,,,525
48.2323649,9.6840137,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,531
48.238221,9.607655,44,AC Steckdose Typ 2,22,,,,,,,524
48.204579,9.689108,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,508
48.204572,9.689049,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,508
48.09543,9.7922,22,AC Steckdose Typ 2,22,,,,,,,532
48.09543,9.7922,22,AC Steckdose Typ 2,22,,,,,,,532
48.09543,9.7922,22,AC Steckdose Typ 2,22,,,,,,,532
48.09543,9.7922,22,AC Steckdose Typ 2,22,,,,,,,532
48.09543,9.7922,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,532
48.091663,9.802962,44,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,,,,,534
48.091656,9.8028755,44,AC Kupplung Typ 2,22,AC Kupplung Typ 2,22,,,,,534
