sou_lat,sou_lon,sou_alt,tar_lat,tar_lon,tar_alt,length,typical_duration,average_speed,consumption,average_consumption
50.941765,7.051004,53,48.280147,11.269209,534,120711,6075,71.53244444444444,138.37466541424507,114.63302053188615
48.51074,9.07175,327,48.170982,11.447075,517,88777,3746,85.31692471970102,102.54418490746353,115.50760321644518
50.733955,9.241483,340,49.272286,11.60003,540,3576,427,30.148946135831384,-1.55139895640777,-43.383639720575225
49.25871664,10.50156176,478,51.550004,7.927231,92,7118,545,47.01798165137615,1.5876715122391982,22.30502265017137
52.036418,8.555746,109,51.4945,7.46962,113,1196,151,28.513907284768212,0.9107777921897269,76.15198931352231
52.309349,13.31322,41,47.62801878,12.99607538,587,3940,309,45.90291262135923,2.700763762534277,68.54730361762124
49.53970004,12.16000363,376,54.36200899,10.98329294,45,2202,212,37.39245283018868,2.354241575944659,106.91378637350859
52.492115,13.432001,39,50.688404,8.2958,308,7072,951,26.770977917981075,3.806551603819425,53.82567313093078
51.866768,9.099255,135,49.33393,8.437532,96,6871,530,46.67094339622642,7.997753699941655,116.39868577996879
51.838227,10.795883,235,48.303782,11.633904,464,1805,277,23.45848375451264,0.717027576517158,39.72451947463479
48.396352,10.001652,471,50.309498,8.160961,215,96451,4147,83.72886423920907,116.14974490112809,120.4235776727334
51.38168,9.23633,335,52.269847,8.1062334,81,23664,1059,80.4441926345609,21.140896807761226,89.33779922143859
51.528793,7.550454,77,49.422103,7.492267,232,76317,3293,83.43188581840268,106.17300911545969,139.12104657607046
52.52142151,13.46913258,46,49.228222,8.368179,100,11606,1649,25.33753790175864,5.686713238230787,48.998046167764834
48.714692,10.158704,492,48.153065,11.617575,526,56581,2822,72.17987243090006,53.594825180095576,94.72230109064098
51.294624,13.53385,125,48.037763,7.572311,189,23178,1702,49.02514688601645,16.19344415083981,69.86558007955738
49.9680487,9.1649813,159,51.767763,11.484102,148,2109,286,26.54685314685315,5.887674865039659,279.16903105925365
50.508783,10.131275,450,47.827997,11.902925,702,5914,386,55.156476683937825,-1.7946904774821175,-30.346474086610037
49.7983,9.99306,241,51.510813,7.46993,99,2664,324,29.599999999999998,-0.8118405548601624,-30.474495302558648
53.33910969,10.21962047,6,51.632195,7.87476,98,117970,5910,71.85989847715737,124.32884021699277,105.39021803593522
52.41697,9.44835,48,53.63262,10.00639,15,2867,424,24.342452830188677,1.266066664431198,44.15998131953952
51.223522,10.455457,210,54.402239,10.166537,16,3070,408,27.08823529411765,1.3192165966128138,42.97122464536853
48.71625908,9.536756701,279,49.02642973,12.1154781,340,57094,3682,55.822487778381316,43.51532829845648,76.21699004879055
49.4738341,8.539300561,96,49.85778568,7.897050977,103,2405,309,28.019417475728158,1.6807386817355343,69.88518427174779
52.89621499,8.413338661,28,48.908062,8.773745,310,62817,3556,63.59426321709787,58.26781052877987,92.75802812738569
49.8727,8.9281,155,51.323972,6.60675,36,7529,692,39.16820809248555,4.178905457520166,55.50412348944303
54.311325,9.647226,9,49.45513,9.247109,361,244228,9582,91.75754539762055,343.13316873858724,140.4970637021911
48.422094,10.441849,461,52.79542811,7.860117029,33,84802,4586,66.56938508504143,78.20252628900472,92.21778529870136
54.47453256,9.049837589,3,48.783128,10.10107,508,319712,13712,83.93838973162194,399.0365473857511,124.81125118411292
51.701064,9.993936,127,51.561847,12.97115,94,4133,405,36.73777777777778,2.3790693881608487,57.56277251780423
53.59762,10.10178,16,51.059521,13.702227,115,156056,7749,72.49988385598141,164.5896960345509,105.46835497164538
53.85804353,10.73463535,9,51.450773,11.305058,146,207604,9587,77.95706686137478,238.00277434704455,114.64267275536335
48.787087,9.189956,234,48.56081784,13.36317301,407,42671,2366,64.92628909551986,35.70304640313959,83.6705172204532
52.19499,9.89024,92,49.2444306,8.8789347,171,5382,408,47.48823529411765,3.548279125165071,65.92863480425625
49.403861,9.390352,228,51.557302,12.9661,86,19542,873,80.58556701030928,28.18896556191949,144.24810951754932
48.191857,10.753641,548,48.22681721,12.66260675,398,113850,5166,79.33797909407666,125.01741435264309,109.80888392854025
47.2845,11.0318,725,48.953412,10.170052,508,277979,12536,79.8280472239949,304.58808347153126,109.57233584966177
51.7641,14.35982,71,50.50655,12.539246,601,103888,5023,74.45685845112483,112.15249635193477,107.95519824420028
52.984478,10.08971786,77,50.98049,6.96886,44,68523,4268,57.798219306466734,55.208789602434564,80.56972053534516
51.28146,13.52063,123,51.477663,12.002074,103,20815,1484,50.49460916442048,14.988931484728312,72.01024013801735
51.02749,14.218986,326,52.543795,13.490852,58,85423,4645,66.20512378902045,86.16325800992631,100.8665792701337
52.217254,9.568984,114,51.944084,7.624275,68,11489,696,59.42586206896552,6.77453391162368,58.96539221536843
49.020784,8.242259,103,48.605968,9.631763,589,22142,1478,53.931799729364,18.069085792782264,81.60548185702405
48.966043,8.603242,170,48.23712,10.373093,513,13240,847,56.27390791027155,11.5976408103123,87.59547439812914
50.06007304,8.335130778,151,53.067124,7.242941,0,11809,978,43.46871165644172,3.7098895344429055,31.41578062869765
50.809373,7.220042,100,52.178411,7.8483,61,119628,6433,66.94556194621482,127.47608732450571,106.56041004155023
48.980444,12.067472,430,53.6241,10.679586,16,7836,610,46.24524590163934,-2.1332334636377417,-27.22350004642345
51.170567,6.951259,61,49.994889,8.677389,140,135276,6023,80.85565332890586,174.06175808978867,128.67157373797914
51.535798,13.914721,121,48.84762832,12.95957572,321,58531,3201,65.82680412371134,52.49581166788788,89.68890274877907
53.809588,8.911064,0,49.290541,6.759095,200,188016,8887,76.16266456622033,209.24417850273892,111.29062340584787
